"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Bullet 12","Bullet 13","Bullet 14","Bullet 15","Anti-Glare
","Anti-Reflective
","Aspect Ratio
","Filter Color
","Brand ","Brand of Device","Device Model Name
","Device Type
","Display Diagonal
","Durable Screen Protection
","Filter Type
","Orientation
","Privacy
","Scratch Resistant
","Screen Attachment

","Screen Format
","Touch Compatibility
","Warranty Period
","UPC ","Image ID","Image URL"
"EF180C4F","3M™ Executive Anti-Glare Filter for 17""-18"" Desktop Monitor","3M™ Executive Anti-Glare Filter for 17""-18"" Desktop Monitor","Fits 17"" - 18"" diagonally measured standard desktop monitors","Helps reduce mirror-like reflections from indoor bright lights","Light tint glass helps text appear sharper and more accurate color representation","Two-sided anti-reflective coating","Helps protect from scratches and hides fingerprints","Attaches with hanger arms for a custom fit to your monitor","Cleans easily with a soft, lint free cloth and glass cleaner","Made in USA with Globally Sourced Components","","","","","","","","Yes","No","5:4","Clear","3M™","","","Monitors","17 - 18 inches","Yes","Framed","Landscape","No","Yes","Hanger Arms","Standard","No","Limited 1-year warranty","00051128742938","1049276","http://multimedia.3m.com/mws/media/1049276O/http-multimedia-3m-com-mws-mediawebservermwsid-sssssufsevtszxtum8-zp82vevuqevtsevtsevtsessssss.TIF"
"EF200C4F","3M™ Executive Anti-Glare Filter for 19""-20"" Desktop Monitor","3M™ Executive Anti-Glare Filter for 19""-20"" Desktop Monitor","Fits 19"" - 20"" diagonally measured standard desktop monitors","Helps reduce mirror-like reflections from indoor bright lights","Light tint glass helps text appear sharper and more accurate color representation","Two-sided anti-reflective coating","Helps protect from scratches and hides fingerprints","Attaches with hanger arms for a custom fit to your monitor","Cleans easily with a soft, lint free cloth and glass cleaner","Made in USA with Globally Sourced Components","","","","","","","","Yes","No","5:4","Clear","3M™","","","Monitors","19 - 20 inches","Yes","Framed","Landscape","No","Yes","Hanger Arms","Standard","No","Limited 1-year warranty","00051128744789","1049276","http://multimedia.3m.com/mws/media/1049276O/http-multimedia-3m-com-mws-mediawebservermwsid-sssssufsevtszxtum8-zp82vevuqevtsevtsevtsessssss.TIF"
"PF170C4F","3M™ Framed Privacy Filter for 17"" Standard Monitor","3M™ Framed Privacy Filter for 17"" Standard Monitor","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","5:4","Black","3M™","","","Monitors","17 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Standard","No","Limited 1-year warranty","00051128775851","1360012","http://multimedia.3m.com/mws/media/1360012Z/pf170c4f-monitor-34871995279-ft-rgb-300-jpg.jpg"
"PF190C4F","3M™ Framed Privacy Filter for 19"" Standard Monitor","3M™ Framed Privacy Filter for 19"" Standard Monitor","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","5:4","Black","3M™","","","Monitors","19 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Standard","No","Limited 1-year warranty","00051128775868","1360020","http://multimedia.3m.com/mws/media/1360020Z/pf190c4f-monitor-34871995311-ft-rgb-300-jpg.jpg"
"PF170W1F","3M™ Framed Privacy Filter for 17"" Widescreen Monitor (16:10)","3M™ Framed Privacy Filter for 17"" Widescreen Monitor (16:10)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","16:10","Black","3M™","","","Monitors","17 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Widescreen","No","Limited 1-year warranty","00051128786635","1360016","http://multimedia.3m.com/mws/media/1360016Z/pf170w1f-monitor-34871995295-ft-rgb-300-jpg.jpg"
"PF190W1F","3M™ Framed Privacy Filter for 19"" Widescreen Monitor (16:10)","3M™ Framed Privacy Filter for 19"" Widescreen Monitor (16:10)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","16:10","Black","3M™","","","Monitors","19 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Widescreen","No","Limited 1-year warranty","00051128786642","1360024","http://multimedia.3m.com/mws/media/1360024Z/pf190w1f-monitor-34871995337-ft-rgb-300-jpg.jpg"
"PF240W1F","3M™ Framed Privacy Filter for 24"" Widescreen Monitor (16:10)","3M™ Framed Privacy Filter for 24"" Widescreen Monitor (16:10)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","16:10","Black","3M™","","","Monitors","24 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Widescreen","No","Limited 1-year warranty","00051128788349","1360047","http://multimedia.3m.com/mws/media/1360047Z/pf240w1f-monitor-34872024343-ft-rgb-300-jpg.jpg"
"PF220W1F","3M™ Framed Privacy Filter for 22"" Widescreen Monitor (16:10)","3M™ Framed Privacy Filter for 22"" Widescreen Monitor (16:10)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","16:10","Black","3M™","","","Monitors","22 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Widescreen","No","Limited 1-year warranty","00051128788356","1360032","http://multimedia.3m.com/mws/media/1360032Z/pf220w1f-monitor-34871995378-ft-rgb-300-jpg.jpg"
"PF200W1F","3M™ Framed Privacy Filter for 20"" Widescreen Monitor (16:10)","3M™ Framed Privacy Filter for 20"" Widescreen Monitor (16:10)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Offers the best level of clarity in 3M Privacy Filters for monitors","On average, 25% more clarity than standard 3M™ Black Privacy Filters","Easy to remove for collaboration, sharing or to clean as needed","Great for high-resolution monitors","Provides the highest contrast of 3M™ Privacy Filters for monitors, creates an excellent viewing experience with whiter whites and blacker blacks","Helps reduce reflections so you see your screen with a beautiful high-contrast, high-resolution quality you expect","Gives screens a layer of added protection from dust and scratches","Reduces 35% of blue light transmission from the display","Attaches with Command® Strips or hanger arms for framed mounting","100% hand inspected for quality assurance","","","","","No","Yes","16:10","Black","3M™","","","Monitors","20.1 inches","Yes","Framed","Landscape","Yes","Yes","Hanger Arms and Command® Strips","Widescreen","No","Limited 1-year warranty","00051128799086","1360028","http://multimedia.3m.com/mws/media/1360028Z/pf200w1f-monitor-34871995345-ft-rgb-300-jpg.jpg"
"PF141C3B","3M™ Privacy Filter for 14.1"" Standard Laptop","3M™ Privacy Filter for 14.1"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","4:3","Black","3M™","","","Laptops","14.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","Limited 1-year warranty","00051138752538","1392670","http://multimedia.3m.com/mws/media/1392670Z/pf141c3b-wslaptop.jpg"
