"X_REC_SPEC","PlantMaterialKey","SalesOrganization","DistributionChannel","Material","LanguageCode","LanguageCodeDesc","SkuType","DistributionChainMaterialStatus","ItemCategoryGroup","ValidDays","NewProductFlag","EndUserRequired","ReturnDirectToVendor","ReturnLimitations","ManufacturerPartNumber","MfrMaterialKey","Manufacturer","ManufacturerDesc","MaterialType","Weight","WeightUnit","DealerPrice","RetailPrice","Cat1Desc","Cat2Desc","Subcategory","CategoryCode","SubCategoryCode","NewCategoryCode","NewSubCategoryCode","Cat3Desc","Plant","Height","Width","Length","AbcIndicator","NoReturnsFlag","OversizeFlag","MediumDesc","LongDesc1","UpcEan","MasterVendor","MasterVendorName","PromoFlag","PromoExpireDate","PromoFreePartNumber","PromoMinimumQuantity","PromoFreeQuantity","PromoPrice","PromoEffectiveDate","PromoType","EcomFreePartNumber","EcomFreeQuantity","EcomMinimumQuantity","EcomSpecPrice","EcomEffDate","EcomExpireDate","EcomPromoType","WebVisibleFlag","ClassCode","CpuCd","CurrencyCode","HeavyWeightFlag","ShipCartonFlag","PartType","DealerFlag","BackOrderSwitch","NoReturnFlag","IsESDProduct","RefurbishedFlag","PalletQuantity","DirectShipOrderable","VendorInfoRequired","RestrictedFlag","WarrantyProduct","WeightDetails","SubMaterial","SubRule","QuantityBreakFlag","StatusCD","InvisibleFlag","Webswitch","DeleteFlag","RecordDate","UpdatedDate","HasModified","WebVisibleFlagMode","DeleteFlagMode","FiscalClass","EndlessAisleFlag","OriginalMaterial","VEN_END_USER_FLAG","DiscountIndicator","ResellerFlag","VMF_AUTH_REQ","Duplicate"
"US01@@9500@@10@@8K2758","US01@@8K2758","9500","10","8K2758","","","","","","","","N","","","PF220W1F","3705@@PF220W1F@@","3705","3M - OPTICAL SYSTEMS DIVISION","","2.75","EA","154","0","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR 22IN WS","PRIVACY FILTER FOR 22IN WS FRAMEDFOR DESKTOP DISPLAYS","51128788356","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@2.75@@EA","","","","","","Y","1","11/4/2017 6:58","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D2215","US01@@4D2215","9500","10","4D2215","","","","","","","","N","","","MPPGG001","3705@@MPPGG001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.1","EA","16.5","0","99","40","9940","0","99","51","1","","US01","","","","S","","","PRIVACY FILTER FOR GOOGLE NEXUS","PRIVACY FILTER FOR GOOGLE NEXUS 6P","51128006962","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.1@@EA","","","","","","Y","1","1/28/2017 11:24","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D2210","US01@@4D2210","9500","10","4D2210","","","","","","","","N","","","UCTDE002","3705@@UCTDE002@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.25","EA","8","0","99","20","9920","0","99","1","99","","US01","","","","S","","","ULTRA CLEAR SCREEN PROTECTOR","ULTRA CLEAR SCREEN PROTECTOR FOR DELL VENUE 8 PRO GLOSSY","51128004999","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.25@@EA","","","","","","Y","1","8/15/2016 12:21","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D2206","US01@@4D2206","9500","10","4D2206","","","","","","","","N","","","PFTDE002","3705@@PFTDE002@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.25","EA","28.75","0","99","40","9940","0","99","51","1","","US01","","","","S","","","PRIVACY FILTER FOR DELL","PRIVACY FILTER FOR DELL LATITUDE 12 E7250","51128004944","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.25@@EA","","","","","","Y","1","8/15/2016 12:21","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@RL7378","US01@@RL7378","9500","10","RL7378","","","","","","","","N","","","MPF828717","3705@@MPF828717@@I","3705","3M - OPTICAL SYSTEMS DIVISION","I","0.1","EA","8.75","24.95","99","95","9995","0","99","6","49","","US01","","","","G","","","APPLE ONLY PRIVACY SCREEN FOR","APPLE ONLY PRIVACY SCREEN FOR IPHONE5 GLOSSY FINISH","51128828717","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","G","","","","","I","","","","","","99999","","","ACCS","","US01@@.1@@EA","","","","","A","Y","1","1/17/2018 9:28","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@3F3260","US01@@3F3260","9500","10","3F3260","","","","","","","","N","","","PFNMS001","3705@@PFNMS001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.35","EA","32.75","0","99","20","9920","0","99","1","99","","US01","","","","B","","","PRIVACY FILTER FOR MICROSOFT","PRIVACY FILTER FOR MICROSOFT SURFACE BOOK LANDSCAPE","51128006566","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.35@@EA","","","","","","Y","1","9/4/2017 4:25","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@3F3258","US01@@3F3258","9500","10","3F3258","","","","","","","","N","","","AG200W9B","3705@@AG200W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.55","EA","35.5","0","99","40","9940","0","99","51","1","","US01","","","","B","","","ANTI-GLARE FILTER FOR 20IN WS","ANTI-GLARE FILTER FOR 20IN WS 16:9 FOR DISPLAYS","51128006016","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.55@@EA","","","","","","Y","1","9/29/2017 5:51","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@XP5278","US01@@XP5278","9500","10","XP5278","","","","","","","","N","","","DEF8X4","U227@@DEF8X4@@","U227","3M - WORKSPACE SOLUTIONS","","4.7","EA","95.5","0","10","22","1022","0","99","58","13","","US01","","","","B","","","POST IT 8X4 DRY ERASE SURFACE","POST IT 8X4 DRY ERASE SURFACE 8FT X 4FT WHITEBOARD SURFACE","51141396781","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","PAPR","","US01@@4.7@@EA","","","","","","Y","1","11/10/2017 9:56","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52835","US01@@Q52835","9500","10","Q52835","","","","","","","","N","","","MW309LE","U227@@MW309LE@@","U227","3M - WORKSPACE SOLUTIONS","","0.7","EA","11.25","22.25","99","10","9910","0","99","51","46","","US01","","","","C","","","MOUSEPAD & WRIST REST GEL BLK","MOUSEPAD & WRIST REST GEL BLK LEATHERETTE PRECISE MOUSE SURFACE","51135807217","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.7@@EA","","","","","","Y","1","7/17/2017 6:26","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52845","US01@@Q52845","9500","10","Q52845","","","","","","","","N","","","WR310LE","U227@@WR310LE@@","U227","3M - WORKSPACE SOLUTIONS","","1.4","EA","15","29.65","99","10","9910","0","99","51","46","","US01","","","","B","","","KEYBOARD WRIST REST GEL BLACK","KEYBOARD WRIST REST GEL BLACK LEATHERETTE  KP200LE","51131980976","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@1.4@@EA","","","","","","Y","1","10/22/2017 16:13","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@G68714","US01@@G68714","9500","10","G68714","","","","","","","","N","","","AKT100LE","U227@@AKT100LE@@","U227","3M - WORKSPACE SOLUTIONS","","19.45","EA","192","400","99","10","9910","0","99","51","46","","US01","","","","B","","","KEYBOARD TRAY ADJUSTABLE LEVER","KEYBOARD TRAY ADJUSTABLE LEVER 21.75IN TRACK  MOUSE PLATFORM  GEL","21200507052","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@19.45@@EA","","","","","","Y","1","9/4/2017 5:26","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@BX0175","US01@@BX0175","9500","10","BX0175","","","","","","","","N","","","GF154W1B","3705@@GF154W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.3","EA","46","90.83","99","40","9940","0","99","51","1","","US01","","","","C","","","GOLD PRIVACY FILTER 15.4IN WS","GOLD PRIVACY FILTER 15.4IN WS UNFRAMED FOR LAPTOP","51128788837","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.3@@EA","","","","","","Y","1","1/1/2018 1:36","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52830","US01@@Q52830","9500","10","Q52830","","","","","","","","N","","","MP200PS","U227@@MP200PS@@","U227","3M - WORKSPACE SOLUTIONS","","0.1","EA","5.25","10.55","99","10","9910","0","99","51","46","","US01","","","","C","","","PRECISE MOUSING SURFACE SILVER","PRECISE MOUSING SURFACE SILVER ULTRA THIN TRAVEL MOUSEPAD","51135806821","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.1@@EA","","","","","","Y","1","5/19/2017 14:52","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@NV8502","US01@@NV8502","9500","10","NV8502","","","","","","","","N","","","C4836MY","U227@@C4836MY@@","U227","3M - WORKSPACE SOLUTIONS","","16.8","EA","66","120.82","07","35","0735","0","99","9","22","","US01","","","","B","","","CORK BULLETIN BOARD 48X36","CORK BULLETIN BOARD 48X36 MAHOGANY FINISH FRAME","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","FURN","","US01@@16.8@@EA","","","","","","Y","1","1/16/2018 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CM2781","US01@@CM2781","9500","10","CM2781","","","","","","","","N","","","P9648FA","U227@@P9648FA@@","U227","3M - WORKSPACE SOLUTIONS","","64","EA","432.5","1012.85","33","60","3360","0","99","57","98","","US01","","","","C","","","DRY ERASE BOARD PORCELAIN 96X48","DRY ERASE BOARD PORCELAIN 96X48 ALUMINUM FRAME MAGNETIC","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","PERP","","US01@@64@@EA","","","","","","Y","1","11/12/2017 10:34","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CM2778","US01@@CM2778","9500","10","CM2778","","","","","","","","N","","","P9648FMY","U227@@P9648FMY@@","U227","3M - WORKSPACE SOLUTIONS","","56","EA","431","1012.85","33","60","3360","0","99","57","98","","US01","","","","S","","","DRY ERASE BOARD PORCELAIN 96X48","DRY ERASE BOARD PORCELAIN 96X48 MAHOGANY FINISH FRAME","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@56@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CM2780","US01@@CM2780","9500","10","CM2780","","","","","","","","N","","","P7248FA","U227@@P7248FA@@","U227","3M - WORKSPACE SOLUTIONS","","56.8","EA","354.5","829.32","33","60","3360","0","99","57","98","","US01","","","","S","","","DRY ERASE BOARD PORCELAIN 72X48","DRY ERASE BOARD PORCELAIN 72X48 ALUMINUM FRAME MAGNETIC","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@56.8@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52817","US01@@Q52817","9500","10","Q52817","","","","","","","","N","","","AKT151LE","U227@@AKT151LE@@","U227","3M - WORKSPACE SOLUTIONS","","18.05","EA","203.5","424.3","99","10","9910","0","99","51","46","","US01","","","","C","","","KEYBOARD TRAY ADJUSTABLE EASY","KEYBOARD TRAY ADJUSTABLE EASY 17.75IN TRACK  MOUSE PLATFORM  GEL","21200472855","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@18.05@@EA","","","","","","Y","1","10/22/2017 16:13","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52820","US01@@Q52820","9500","10","Q52820","","","","","","","","N","","","AKT91LE","U227@@AKT91LE@@","U227","3M - WORKSPACE SOLUTIONS","","16.7","EA","162","337.9","99","10","9910","0","99","51","46","","US01","","","","S","","","KEYBOARD TRAY STANDARD EASY","KEYBOARD TRAY STANDARD EASY 17IN TRACK  ALL-IN-ONE  GEL WRIST","21200472886","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@16.7@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52842","US01@@Q52842","9500","10","Q52842","","","","","","","","N","","","WR308DS","U227@@WR308DS@@","U227","3M - WORKSPACE SOLUTIONS","","1.1","EA","12.75","26.48","99","10","9910","0","99","51","46","","US01","","","","C","","","KEYBOARD WRIST REST CLEAR GEL","KEYBOARD WRIST REST CLEAR GEL DAISY DESIGN","51131979147","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@1.1@@EA","","","","","","Y","1","6/14/2017 19:02","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@RZ3414","US01@@RZ3414","9500","10","RZ3414","","","","","","","","N","","","LX600MB","U227@@LX600MB@@","U227","3M - WORKSPACE SOLUTIONS","","5.7","EA","72.75","154.98","99","20","9920","0","99","1","99","","US01","","","","S","","","NOTEBOOK & PROJECTOR RISER","NOTEBOOK & PROJECTOR RISER EASY ADJUST BLACK 360 SWIVEL","51135806586","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","STND","","US01@@5.7@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@3A0175","US01@@3A0175","9500","10","3A0175","","","","","","","","N","","","AG240W1B","3705@@AG240W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.7","EA","44.75","0","99","30","9930","0","99","1","99","","US01","","","","B","","","ANTI-GLARE FILTER FOR 24IN","ANTI-GLARE FILTER FOR 24IN DISPLAYS","51128004777","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","PROT","","US01@@.7@@EA","","","","","","Y","1","12/8/2017 16:35","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Y94403","US01@@Y94403","9500","10","Y94403","","","","","","","","N","","","EM550GPL","U227@@EM550GPL@@","U227","3M - WORKSPACE SOLUTIONS","","0.55","EA","67.5","132.3","33","60","3360","0","99","57","98","","US01","","","","B","","","ERGO OPTICAL MOUSE WIRELESS USB","ERGO OPTICAL MOUSE WIRELESS USB LARGE BLACK","51111025697","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","WRLS","","US01@@.55@@EA","","","","","","Y","1","9/4/2017 6:29","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@2Y8173","US01@@2Y8173","9500","10","2Y8173","","","","","","","","N","","","PFTAP001","3705@@PFTAP001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.2","EA","17.5","0","99","20","9920","0","99","1","99","","US01","","","","C","","","PRIVACY FILTER FOR IPAD AIR 1/2","PRIVACY FILTER FOR IPAD AIR 1/2 PORTRAIT","51128004838","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.2@@EA","","","","","","Y","1","7/18/2017 10:30","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@9U1947","US01@@9U1947","9500","10","9U1947","","","","","","","","N","","","HC220W1B","3705@@HC220W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.85","EA","95.5","0","99","40","9940","0","99","51","1","","US01","","","","C","","","HIGH CLARITY PRIVACY FILTER","HIGH CLARITY PRIVACY FILTER 22IN WS 16:10 MONITOR","51128008003","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.85@@EA","","","","","","Y","1","10/2/2017 17:07","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@8K2765","US01@@8K2765","9500","10","8K2765","","","","","","","","N","","","PFMAP003","3705@@PFMAP003@@","3705","3M - OPTICAL SYSTEMS DIVISION","","1","EA","109","0","99","40","9940","0","99","51","1","","US01","","","","S","","","PRIVACY FILTER FOR 27IN","PRIVACY FILTER FOR 27IN APPLEFOR THUNDERBOLT DISPLAY","51128827031","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@1@@EA","","","","","","Y","1","6/1/2017 8:38","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@8K2762","US01@@8K2762","9500","10","8K2762","","","","","","","","N","","","PF181C4B","3705@@PF181C4B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.65","EA","70.75","0","99","40","9940","0","99","51","1","","US01","","","","S","","","PRIVACY FILTER FOR 18.1IN","PRIVACY FILTER FOR 18.1IN UNFRAMEDFOR DESKTOP DISPLAYS","51128723043","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.65@@EA","","","","","","Y","1","10/10/2017 19:05","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D2209","US01@@4D2209","9500","10","4D2209","","","","","","","","N","","","AGTDE001","3705@@AGTDE001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.25","EA","15.25","0","99","40","9940","0","99","51","1","","US01","","","","S","","","ANTI-GLARE FILTER FOR DELL","ANTI-GLARE FILTER FOR DELL VENUE PRO 10","51128004883","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.25@@EA","","","","","","Y","1","8/15/2016 12:21","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D2191","US01@@4D2191","9500","10","4D2191","","","","","","","","N","","","PF185W9F","3705@@PF185W9F@@","3705","3M - OPTICAL SYSTEMS DIVISION","","3","EA","125.5","0","99","40","9940","0","99","51","1","","US01","","","","C","","","PRIVACY FILTER 18.5IN WS 16:9","PRIVACY FILTER 18.5IN WS 16:9 FRAMED FOR LCD/LAPTOP","51128006795","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@3@@EA","","","","","","Y","1","12/28/2017 3:40","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@DP8528","US01@@DP8528","9500","10","DP8528","","","","","","","","N","","","TP5900-20","U227@@TP5900-20@@","U227","3M - WORKSPACE SOLUTIONS","","0.25","EA","2","4.05","10","22","1022","0","99","42","11","","US01","","","","S","","","20PK PHOTO THERMAL POUCHES","20PK PHOTO THERMAL POUCHES 4.37X6.36IN","21200468803","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","SUPL","","US01@@.25@@EA","","","","","","Y","1","8/29/2017 19:02","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@N02015","US01@@N02015","9500","10","N02015","","","","","","","","N","","","PF190W1B","3705@@PF190W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.58","EA","64.75","148.35","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER 19IN WS UNFRAMED","PRIVACY FILTER 19IN WS UNFRAMED FOR LAPTOP AND LCD","51128786147","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.58@@EA","","","","","","Y","1","5/19/2017 15:03","1/18/2018 17:39","0","1","","","","","","0","N","",""
