"X_REC_SPEC","PlantMaterialKey","SalesOrganization","DistributionChannel","Material","LanguageCode","LanguageCodeDesc","SkuType","DistributionChainMaterialStatus","ItemCategoryGroup","ValidDays","NewProductFlag","EndUserRequired","ReturnDirectToVendor","ReturnLimitations","ManufacturerPartNumber","MfrMaterialKey","Manufacturer","ManufacturerDesc","MaterialType","Weight","WeightUnit","DealerPrice","RetailPrice","Cat1Desc","SubCategory","Plant","Height","Width","Length","AbcIndicator","NoReturnsFlag","OversizeFlag","MediumDesc","LongDesc1","UpcEan","MasterVendor","MasterVendorName","PromoFlag","PromoExpireDate","PromoFreePartNumber","PromoMinimumQuantity","PromoFreeQuantity","PromoPrice","PromoEffectiveDate","PromoType","EcomFreePartNumber","EcomFreeQuantity","EcomMinimumQuantity","EcomSpecPrice","EcomEffDate","EcomExpireDate","EcomPromoType","WebVisibleFlag","ClassCode","CpuCd","CurrencyCode","HeavyWeightFlag","ShipCartonFlag","PartType","DealerFlag","BackOrderSwitch","NoReturnFlag","IsESDProduct","RefurbishedFlag","PalletQuantity","DirectShipOrderable","VendorInfoRequired","RestrictedFlag","WarrantyProduct","WeightDetails","SubMaterial","SubRule","QuantityBreakFlag","StatusCD","InvisibleFlag","Webswitch","DeleteFlag","RecordDate","UpdatedDate","HasModified","WebVisibleFlagMode","DeleteFlagMode","FiscalClass","EndlessAisleFlag","OriginalMaterial","VEN_END_USER_FLAG","DiscountIndicator","ResellerFlag","VMF_AUTH_REQ"
"US01@@9500@@10@@4T8465","US01@@4T8465","9500","10","4T8465","","","","","","","","N","","","1650-400-000","Q498@@1650-400-000@@","Q498","PELICAN PRODUCTS- CASES","","6.5","EA","97.5","0","99","9945","US01","","","","S","","","1651 4PC FOAM SET FOR 1650 CASE","1651 4PC FOAM SET FOR 1650 CASE","19428004088","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@6.5@@EA","","","","","","Y","1","6/12/2017 11:55","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@ZM6049","US01@@ZM6049","9500","10","ZM6049","","","","","","","","N","","","IM2875-30000","Q498@@IM2875-30000@@","Q498","PELICAN PRODUCTS- CASES","","22","EA","230","0","99","9945","US01","","","","S","","","IM2875 STORM CASE NF OD GREEN","IM2875 STORM CASE NF OD GREEN NO FOAM 26X25X14","8.25E+11","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","CASE","","US01@@22@@EA","","","","","","Y","1","6/12/2017 11:59","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@KV5904","US01@@KV5904","9500","10","KV5904","","","","","","","","N","","","IM2750-30001","Q498@@IM2750-30001@@","Q498","PELICAN PRODUCTS- CASES","","23.15","EA","259.5","0","99","9960","US01","","","","S","","","IM2750 STORM HARD CASE OD GREEN","IM2750 STORM HARD CASE OD GREEN WITH FOAM, WHEELS 22X17X12.7","8.25E+11","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","CASE","","US01@@23.15@@EA","","","","","","Y","1","6/12/2017 11:59","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@KV9232","US01@@KV9232","9500","10","KV9232","","","","","","","","N","","","BLACKBOX-5U-SAE","Q498@@BLACKBOX-5U-SAE@@","Q498","PELICAN PRODUCTS- CASES","","52","EA","1016","0","99","9995","US01","","","","S","","","HARDIGG BLACKBOX RACK MOUNT 5U","HARDIGG BLACKBOX RACK MOUNT 5U DOUBLE END CASE BLACK","8.25E+11","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","CASE","","US01@@52@@EA","","","","","","Y","1","10/23/2017 16:00","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@RC2029","US01@@RC2029","9500","10","RC2029","","","","","","","","N","","","BLACKBOX-14U","Q498@@BLACKBOX-14U@@","Q498","PELICAN PRODUCTS- CASES","","75","EA","1505","0","99","9945","US01","","","","S","","","HARDIGG BLACKBOX RACK MOUNT 14U","HARDIGG BLACKBOX RACK MOUNT 14U DOUBLE END CASE BLACK","8.25E+11","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","CASE","","US01@@75@@EA","","","","","","Y","1","6/12/2017 11:57","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@GE6034","US01@@GE6034","9500","10","GE6034","","","","","","","","N","","","1740-000-110","Q498@@1740-000-110@@","Q498","PELICAN PRODUCTS- CASES","","31.38","EA","371","0","99","9960","US01","","","","C","","","1740 LONG HARD CASE BLK W/FOAM","1740 LONG HARD CASE BLK W/FOAM WHEELS 40.98X12.92X12.13","19428092085","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","CASE","","US01@@31.38@@EA","","","","","","Y","1","10/29/2017 8:48","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CB4825","US01@@CB4825","9500","10","CB4825","","","","","","","","N","","","1650-020-110","Q498@@1650-020-110@@","Q498","PELICAN PRODUCTS- CASES","","30","EA","270.5","0","99","9960","US01","","","","B","","","1650 HARD CASE BLACK W/ FOAM","1650 HARD CASE BLACK W/ FOAM WITH WHEELS 28.57X17.52X10.65","19428087470","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","CASE","","US01@@30@@EA","","","","","","Y","1","9/19/2017 16:41","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@GE4533","US01@@GE4533","9500","10","GE4533","","","","","","","","N","","","1630-403-000","Q498@@1630-403-000@@","Q498","PELICAN PRODUCTS- CASES","","4","EA","99","0","99","9960","US01","","","","S","","","1632 PICK N PLUCK FOAM 3PC","1632 PICK N PLUCK FOAM 3PC SET FOR 1630 CASE","19428066000","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","CASE","","US01@@4@@EA","","","","","","Y","1","10/23/2017 16:02","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@RG7925","US01@@RG7925","9500","10","RG7925","","","","","","","","N","","","1630-004-110","Q498@@1630-004-110@@","Q498","PELICAN PRODUCTS- CASES","","39.85","EA","404","0","99","9945","US01","","","","S","","","1634 TRANSPORT CASE BLK","1634 TRANSPORT CASE BLK W/ DIVIDERS","19428064648","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","CASE","","US01@@39.85@@EA","","","","","","Y","1","1/2/2018 15:55","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@XR5278","US01@@XR5278","9500","10","XR5278","","","","","","","","N","","","1550-001-190","Q498@@1550-001-190@@","Q498","PELICAN PRODUCTS- CASES","","10.75","EA","133.5","0","99","9945","US01","","","","C","","","1550NF HARD CASE SAND NO FOAM","1550NF HARD CASE SAND NO FOAM CASE ONLY 18.43X14X7.62","19428055066","Q496","PELICAN PRODUCTS","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","CASE","","US01@@10.75@@EA","","","","","","Y","1","7/31/2017 11:34","1/18/2018 17:39","0","1","","","","","","0","N",""
