"X_REC_SPEC","PlantMaterialKey","SalesOrganization","DistributionChannel","Material","LanguageCode","LanguageCodeDesc","SkuType","DistributionChainMaterialStatus","ItemCategoryGroup","ValidDays","NewProductFlag","EndUserRequired","ReturnDirectToVendor","ReturnLimitations","ManufacturerPartNumber","MfrMaterialKey","Manufacturer","ManufacturerDesc","MaterialType","Weight","WeightUnit","DealerPrice","RetailPrice","Cat1Desc","Subcategory","Plant","Height","Width","Length","AbcIndicator","NoReturnsFlag","OversizeFlag","MediumDesc","LongDesc1","UpcEan","MasterVendor","MasterVendorName","PromoFlag","PromoExpireDate","PromoFreePartNumber","PromoMinimumQuantity","PromoFreeQuantity","PromoPrice","PromoEffectiveDate","PromoType","EcomFreePartNumber","EcomFreeQuantity","EcomMinimumQuantity","EcomSpecPrice","EcomEffDate","EcomExpireDate","EcomPromoType","WebVisibleFlag","ClassCode","CpuCd","CurrencyCode","HeavyWeightFlag","ShipCartonFlag","PartType","DealerFlag","BackOrderSwitch","NoReturnFlag","IsESDProduct","RefurbishedFlag","PalletQuantity","DirectShipOrderable","VendorInfoRequired","RestrictedFlag","WarrantyProduct","WeightDetails","SubMaterial","SubRule","QuantityBreakFlag","StatusCD","InvisibleFlag","Webswitch","DeleteFlag","RecordDate","UpdatedDate","HasModified","WebVisibleFlagMode","DeleteFlagMode","FiscalClass","EndlessAisleFlag","OriginalMaterial","VEN_END_USER_FLAG","DiscountIndicator","ResellerFlag","VMF_AUTH_REQ"
"US01@@9500@@10@@8K4559","US01@@8K4559","9500","10","8K4559","","","","","","","","N","","","ST1000LM048-LABEL","196Y@@ST1000LM048-LABEL@@I","196Y","SEAGATE - SAMSUNG","I","0.01","EA","0","0","02","0211","US01","","","","S","","","KITTED BOX 1TB BARRACUDA SATA","KITTED BOX 1TB BARRACUDA SATA 2.5IN LABEL ADHERE TO SINGLE","","685","SEAGATE - PSG SINGLE","","0","","","","","","","","","","","","","","1","S","","","","","I","","","","","","99999","","","2.5","","US01@@.01@@EA","","","","","A","Y","1","6/9/2017 11:43","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@7V0151","US01@@7V0151","9500","10","7V0151","","","","","","","","N","","","ST3000VN007-LABEL","196Y@@ST3000VN007-LABEL@@I","196Y","SEAGATE - SAMSUNG","I","0.01","EA","0","0","10","1022","US01","","","","S","","","SEAGATE LABEL ADHERE TO SINGLE","SEAGATE LABEL ADHERE TO SINGLE KITTED BOX 3TB IRONWOLF","","685","SEAGATE - PSG SINGLE","","0","","","","","","","","","","","","","","1","S","","","","","I","","","","","","99999","","","LABL","","US01@@.01@@EA","","","","","A","Y","1","6/9/2017 11:43","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@7V0145","US01@@7V0145","9500","10","7V0145","","","","","","","","N","","","ST4000VX007-LABEL","196Y@@ST4000VX007-LABEL@@I","196Y","SEAGATE - SAMSUNG","I","0.01","EA","0","0","10","1022","US01","","","","C","","","SEAGATE LABEL ADHERE TO SINGLE","SEAGATE LABEL ADHERE TO SINGLE KITTED BOX 4TB SKYHAWK","","685","SEAGATE - PSG SINGLE","","0","","","","","","","","","","","","","","1","C","","","","","I","","","","","","99999","","","LABL","","US01@@.01@@EA","","","","","A","Y","1","7/18/2017 10:46","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@1Z3206","US01@@1Z3206","9500","10","1Z3206","","","","","","","","N","","","EP-TA12JBEUGUJ","1757@@EP-TA12JBEUGUJ@@","1757","SAMSUNG COMMERCIAL TABLET","","0.22","EA","18.25","34.99","99","9920","US01","","","","B","","","11PIN MICROUSB CHARGER","11PIN MICROUSB CHARGER","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","PWR","","US01@@.22@@EA","","","","","","Y","1","12/14/2017 10:51","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@3E8489","US01@@3E8489","9500","10","INF","","","","","","","","N","","","SOL-FAE1DA","582Y@@SOL-FAE1DA@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","542.5","800","99","9950","US01","","","","X","","","FLEETADMIN PRO 10 EMBEDDED SM","FLEETADMIN PRO 10 EMBEDDED SM","","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","LICS","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:31","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CN0804","US01@@CN0804","9500","10","CN0804","","","","","","","","N","","","P-OA-3NXXA06D3","929Y@@P-OA-3NXXA06D3@@","929Y","SAMSUNG PRINT SERVICES","","0","EA","96.5","208.99","12","1221","US01","","","","X","","","3YR NBD ONSITE MNT 5835","3YR NBD ONSITE MNT 5835","","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","11/29/2017 11:27","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@7T9988","US01@@7T9988","9500","10","7T9988","","","","","","","","N","","","SCX-D4725A/XAA","U397@@SCX-D4725A/XAA@@","U397","SAMSUNG COMMERCIAL PRINTER SUPPLIES","","2.29","EA","86.25","0","10","1010","US01","","","","C","","","BLACK TONER CART FOR SCX-4725FN","BLACK TONER CART FOR SCX-4725FN","6.36E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","TONR","","US01@@2.29@@EA","","","","","","Y","1","11/30/2017 9:10","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@LC8412","US01@@LC8412","9500","10","LC8412","","","","","","","","N","","","P-OA-2NXXA06R2","929Y@@P-OA-2NXXA06R2@@","929Y","SAMSUNG PRINT SERVICES","","0","EA","57","121.99","12","1221","US01","","","","X","","","2YR NBD ONSITE MNT","2YR NBD ONSITE MNT","6.36E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","11/29/2017 11:30","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@9X3292","US01@@9X3292","9500","10","9X3292","","","","","","","","N","","","CY-LJFNAS","1763@@CY-LJFNAS@@","1763","SAMSUNG COMMERICAL LARGE FORMAT","","1.25","EA","84","108","99","9995","US01","","","","S","","","MODULE JIG FOR LED","MODULE JIG FOR LED","","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@1.25@@EA","","","","","","Y","1","8/11/2017 14:38","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@3V6736","US01@@3V6736","9500","10","3V6736","","","","","","","","N","","","SM-T580NZKAXAR","1757@@SM-T580NZKAXAR@@C","1757","SAMSUNG COMMERCIAL TABLET","C","1.7","EA","294.5","335.99","00","0011","US01","","","","A","","","GALAXY TAB A 10.1IN WIFI BLACK","GALAXY TAB A 10.1IN WIFI BLACK","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","A","","","","","C","","","","","","99999","","","SYST","","US01@@1.7@@EA","","","","","","Y","1","1/12/2018 5:56","1/18/2018 17:39","0","1","","","","","","0","N",""
